Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Add,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Lat,Lon,Status
QUANZHOU UNISON LIGHT INDUSTRIAL MANUFACTURING CO. LTD.,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),"ROOM28, YANGSHI STREET, JINLONG YUXIA PARK, LICHENG DISTRICT",QUANZHOU,FUJIAN,"ROOM28, YANGSHI STREET, JINLONG YUXIA PARK, LICHENG DISTRICT, QUANZHOU, FUJIAN, China Mainland",362000,China Mainland,N ASIA,39,39,47.0%,0.0%,24.89108942,118.556705,success
R. A. INTERTRADING S. A.,FINISHED GOODS,APPAREL,NIKE,,RA INTERTRADING,JOSE IGNACIO RUCCI 3951,CAPITAL FEDERAL,BUENOS AIRES,"JOSE IGNACIO RUCCI 3951, CAPITAL FEDERAL, BUENOS AIRES, ARGENTINA",C1439FVQ,ARGENTINA,AMERICAS,793,643,43.0%,0.0%,-34.794692,-58.336041,doubt
"RAJA UCHINO CO.,LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),"630 MOO 11, SUKHAPHIBAL 8 ROAD, NONGKHAM",SRIRACHA,CHON BURI,"630 MOO 11, SUKHAPHIBAL 8 ROAD, NONGKHAM, SRIRACHA, CHON BURI, THAILAND",20230,THAILAND,SE ASIA,215,167,65.0%,40.1%,37.636634,-122.441127,doubt
RAMATEX APPAREL SUZHOU LTD.,FINISHED GOODS,APPAREL,NIKE,,TAI WAH,"115 TING NAN LU, WEI TING TOWN, SUZHOU INDUSTRIAL PARK, ",SUZHOU,JIANGSU,"115 TING NAN LU, WEI TING TOWN, SUZHOU INDUSTRIAL PARK, , SUZHOU, JIANGSU, China Mainland",215121,China Mainland,N ASIA,494,438,97.0%,0.0%,31.32695,120.728696,doubt
RAMATEX INDUSTRIA LTD.,MATERIALS,MATERIALS,NIKE,,RAMATEX,88 SU HONG XI LU,JIANG SU,JIANGSU,"88 SU HONG XI LU, JIANG SU, JIANGSU, China Mainland",215021,China Mainland,N ASIA,,,0.0%,0.0%,29.693535,115.981055,doubt
RAMATEX INDUSTRIAL SUZHOU LTD,FINISHED GOODS,APPAREL,NIKE,,TAI WAH,"88 SU HONG XI LU, SUZHOU INDUSTRIAL PARK",SUZHOU,JIANGSU,"88 SU HONG XI LU, SUZHOU INDUSTRIAL PARK, SUZHOU, JIANGSU, China Mainland",215021,China Mainland,N ASIA,617,517,91.0%,0.0%,31.291778,120.556163,success
RAMATEX TEXTILES INDUSTRIAL SDN. BHD.,MATERIALS,MATERIALS,NIKE,,RAMATEX,"SRI GADING INDUSTRIAL ESTATE, 83000 BATU PAHAT", JOHOR,,"SRI GADING INDUSTRIAL ESTATE, 83000 BATU PAHAT,  JOHOR, , MALAYSIA",0,MALAYSIA,S ASIA,,,0.0%,0.0%,7.879981,98.392761,success
REGENT GARMENT FACTORY LTD,FINISHED GOODS,APPAREL,NIKE,,CRYSTAL,"KCN LAI VU, H.KIM THANH, T. HAI DUONG",HAI DUONG,HI DUONG,"KCN LAI VU, H.KIM THANH, T. HAI DUONG, HAI DUONG, HI DUONG, Viet Nam",170000,Viet Nam,SE ASIA,3284,2753,61.0%,0.0%,20.948366,106.334923,doubt
"REGINA MIRACLE INTERNATIONAL VIETNAM CO., LTD",FINISHED GOODS,APPAREL,NIKE,,REGINA MIRACLE,"NO.9, EAST WEST ROAD,VSIP HAI PHONG ",HAI PHONG,HAI PHONG,"NO.9, EAST WEST ROAD,VSIP HAI PHONG , HAI PHONG, HAI PHONG, Viet Nam",180000,Viet Nam,SE ASIA,6830,5438,68.0%,0.0%,20.85611,106.68222,doubt
REGINA MIRACLE INTIMATE APPAREL SHENZHEN LIMITED,FINISHED GOODS,APPAREL,NIKE,,REGINA MIRACLE,"NO.5 CENGYAO INDUSTRIAL ESTATE, YULV, YUTANG, ",SHENZHEN,GUANGDONG,"NO.5 CENGYAO INDUSTRIAL ESTATE, YULV, YUTANG, , SHENZHEN, GUANGDONG, China Mainland",518132,China Mainland,N ASIA,74,63,60.0%,0.0%,6.504597,3.379152,doubt
RIETVELD SERIGRAFIE BV,FINISHED GOODS,APPAREL,NIKE,,RIETVELD,"INDUSTRIEWEG 50,  2382 NW",ZOETERWOUDE RIJNDIJK,ZUID-HOLLAND,"INDUSTRIEWEG 50,  2382 NW, ZOETERWOUDE RIJNDIJK, ZUID-HOLLAND, NETHERLANDS",2382NW,NETHERLANDS,EMEA,32,25,44.0%,28.0%,52.13688,4.5241,doubt
RIPON ATHLETIC,FINISHED GOODS,APPAREL,NIKE,,RIPON,"290 JUNCTION ST, P.O. BOX 25",BERLIN,WISCONSIN,"290 JUNCTION ST, P.O. BOX 25, BERLIN, WISCONSIN, United States of America",54923,United States of America,AMERICAS,143,126,80.0%,0.0%,43.965348,-88.938176,success
RJ LIEBE ATHLETIC LETTERING CO.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,,RJ LIEBE ATHLETIC LETTERING,582 GODDARD AVE.,CHESTERFIELD,MISSOURI,"582 GODDARD AVE., CHESTERFIELD, MISSOURI, United States of America",63005,United States of America,AMERICAS,48,33,63.0%,0.0%,38.66656,-90.633362,success
ROLLSPORT VIETNAM FOOTWEAR LIMITED,FINISHED GOODS,FOOTWEAR,NIKE,,HONG FU,HOANG LONG INDUSTRIAL ZONE,THANH HOA,THANH HÓA,"HOANG LONG INDUSTRIAL ZONE, THANH HOA, THANH HÓA, Viet Nam",410000,Viet Nam,SE ASIA,10270,8652,89.0%,0.0%,19.835821,105.794227,doubt
RS/TUPA IND. DE PLASTICO LTDA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,NO GROUP (FW),"RUA IVO JOHANN, 10",NOVO HAMBURGO,RIO GRANDE DO SUL,"RUA IVO JOHANN, 10, NOVO HAMBURGO, RIO GRANDE DO SUL, BRAZIL",93546640,BRAZIL,AMERICAS,142,110,49.0%,0.0%,-29.704027,-51.10839,doubt
S.E.C. (DONGGUAN) ACCESSORIES LIMITED,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,,SEC ACCESSORIES,"DA LONG XIN WEI ZAI VILLAGE GROUP,XIEGANG TOWN",DONGGUAN CITY,GUANGDONG,"DA LONG XIN WEI ZAI VILLAGE GROUP,XIEGANG TOWN, DONGGUAN CITY, GUANGDONG, China Mainland",523590,China Mainland,N ASIA,32,20,54.0%,0.0%,36.592183,116.182712,doubt
SABRINA CAMBODIA GARMENT MANUFACTURING,FINISHED GOODS,APPAREL,NIKE,Collegiate,SABRINA,"NATIONAL RD. NO.4, PHUM TRAPAING REUSSEY",SAMRONG TORNG DISTRICT,KAMPONG SPUEU,"NATIONAL RD. NO.4, PHUM TRAPAING REUSSEY, SAMRONG TORNG DISTRICT, KAMPONG SPUEU, CAMBODIA",111111,CAMBODIA,SE ASIA,4300,3900,93.0%,0.0%,10.443195,122.009557,doubt
SADESA (AYUTTHAYA),MATERIALS,MATERIALS,NIKE,,SADESA,SOMKOK-SENA ROAD,AYUTTHAYA,CENTRAL,"SOMKOK-SENA ROAD, AYUTTHAYA, CENTRAL, THAILAND",0,THAILAND,SE ASIA,,,0.0%,0.0%,14.316377,100.582302,doubt
SADESA (CHONBURI),MATERIALS,MATERIALS,NIKE,,SADESA,"THUNG SUK LA, SI RACHA DISTRICT 20230",CHONBURI,CENTRAL,"THUNG SUK LA, SI RACHA DISTRICT 20230, CHONBURI, CENTRAL, THAILAND",20230,THAILAND,SE ASIA,,,0.0%,0.0%,13.10143,100.928094,success
"SAIGON DARYAR PLASTIC CO.,LTD",FINISHED GOODS,EQUIPMENT,NIKE,,SAIGON DARYAR,"27C, DT743 STREET, DI AN",DI AN,BÌNH DUONG,"27C, DT743 STREET, DI AN, DI AN, BÌNH DUONG, Viet Nam",590000,Viet Nam,SE ASIA,510,450,90.0%,0.0%,10.90694,106.75889,doubt
SAIGON GOLDEN PRENE ENTERPRISE COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,GUANG DER,"NO. 28, DT743 ROAD, SONG THAN 2 INDUSTRIAL ZONE,",BINH DUONG,BÌNH DUONG,"NO. 28, DT743 ROAD, SONG THAN 2 INDUSTRIAL ZONE,, BINH DUONG, BÌNH DUONG, Viet Nam",72000,Viet Nam,SE ASIA,1403,1050,79.0%,1.1%,10.891818,106.730144,doubt
SAN FANG (INDONESIA),MATERIALS,MATERIALS,"NIKE, Converse",,SAN FANG,"KAWASAN MODERN INDUSTRI CIKANDE, JL. MODERN INDUSTRI IV NO. 10.12.16.18, CIKANDE",TANGERANG,SERANG,"KAWASAN MODERN INDUSTRI CIKANDE, JL. MODERN INDUSTRI IV NO. 10.12.16.18, CIKANDE, TANGERANG, SERANG, INDONESIA",0,INDONESIA,S ASIA,,,0.0%,0.0%,-6.188013,106.324516,success
SAN FANG (TAIWAN),MATERIALS,MATERIALS,NIKE,,SAN FANG,"NO. 402, FENG JEN RD., JEN WU SHIANG,",KAOHSIUNG,,"NO. 402, FENG JEN RD., JEN WU SHIANG,, KAOHSIUNG, , Taiwan",,Taiwan,N ASIA,,,0.0%,0.0%,22.629212,120.319724,doubt
SAN FANG (VIETNAM),MATERIALS,MATERIALS,NIKE,,SAN FANG,"LO II-4, KCN MY XUAN A2",TAN THANH,THANH PHO HO CHI MINH,"LO II-4, KCN MY XUAN A2, TAN THANH, THANH PHO HO CHI MINH, Viet Nam",10,Viet Nam,SE ASIA,,,0.0%,0.0%,18.3662,-65.9224,success
SAN FANG CHINA,MATERIALS,MATERIALS,NIKE,,SAN FANG,"YU YUEN INDUSTRIAL PARK, HE ROAD, INDUSTRIAL DISTRICT, HUANG, DONGGUAN, GUANGDONG",DONGGUAN,GUANGDONG,"YU YUEN INDUSTRIAL PARK, HE ROAD, INDUSTRIAL DISTRICT, HUANG, DONGGUAN, GUANGDONG, DONGGUAN, GUANGDONG, China Mainland",523758,China Mainland,N ASIA,,,0.0%,0.0%,22.503039,114.123214,doubt
SAO KHUE,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,NGUYEN TRI PHUONG STREET,BIEN HOA CITY,_NG NAI,"NGUYEN TRI PHUONG STREET, BIEN HOA CITY, _NG NAI, Viet Nam",76000,Viet Nam,SE ASIA,1337,1232,96.0%,0.0%,10.95,106.81667,doubt
SARNO DISPLAY S.R.L.,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),"VIA GALILEO GALILEI, 30",CARNATE,LOMBARDIA,"VIA GALILEO GALILEI, 30, CARNATE, LOMBARDIA, ITALY",20866,ITALY,EMEA,86,54,57.0%,3.7%,45.647631,9.37166,success
"SATO KNIT CO., LTD",FINISHED GOODS,APPAREL,NIKE,,SATO KNIT,2653 -1 KITAHAMA-MACHI,AMAKUSA-CITY,KUMAMOTO,"2653 -1 KITAHAMA-MACHI, AMAKUSA-CITY, KUMAMOTO, JAPAN",863 0011,JAPAN,N ASIA,48,45,90.0%,37.8%,32.367112,130.094643,doubt
SCAVI HUE COMPANY,FINISHED GOODS,APPAREL,NIKE,,SCAVI,PHONG DIEN INDUSTRIAL ZONE,PHONG DIEN,THA THIÊN-HU,"PHONG DIEN INDUSTRIAL ZONE, PHONG DIEN, THA THIÊN-HU, Viet Nam",530000,Viet Nam,SE ASIA,6646,5105,80.0%,0.0%,10.006796,105.671116,doubt
SELF MAGLIERIA SNC DI FLORIANI FABRIZIO & C.,FINISHED GOODS,APPAREL,NIKE,,SELF MAGLIERIA,VIA RISORGIMENTO 48,LOMBARDY,COMO,"VIA RISORGIMENTO 48, LOMBARDY, COMO, ITALY",22070,ITALY,EMEA,25,22,92.0%,0.0%,45.733182,9.069264,doubt
SEWING JONAH,FINISHED GOODS,APPAREL,NIKE,,SEWING JONAH,"11-71 8-CHOME, CHIKAMI, MINAMI-KU",KUMAMOTO -CITY,KUMAMOTO,"11-71 8-CHOME, CHIKAMI, MINAMI-KU, KUMAMOTO -CITY, KUMAMOTO, JAPAN",861 4101,JAPAN,N ASIA,47,43,84.0%,27.9%,0,0,doubt
SEYANG CORPORATION VIETNAM,FINISHED GOODS,APPAREL,NIKE,,SEYANG,"PLOT NO. 54 - IN SMALL SCALE INDUSTRY COMPLEX - TRADE VILLAGE, NHAT TAN COMMUNE",KIMBANG DISTRICT,HÀ NAM,"PLOT NO. 54 - IN SMALL SCALE INDUSTRY COMPLEX - TRADE VILLAGE, NHAT TAN COMMUNE, KIMBANG DISTRICT, HÀ NAM, Viet Nam",700635492,Viet Nam,SE ASIA,600,450,85.0%,0.0%,20.643059,105.912684,doubt
SFO APPAREL INC. (SEWING & CUTTING),FINISHED GOODS,APPAREL,NIKE,,SFO APPAREL,41 PARK PLACE,BRISBANE,CALIFORNIA,"41 PARK PLACE, BRISBANE, CALIFORNIA, United States of America",94005,United States of America,AMERICAS,80,68,87.0%,0.0%,37.690193,-122.340013,doubt
SHADELINE PVT LTD,FINISHED GOODS,APPAREL,NIKE,Collegiate,MAS HOLDINGS,MAPAKADEWEWA,MAHIYANGANAYA,_V_ M_K__AM,"MAPAKADEWEWA, MAHIYANGANAYA, _V_ M_K__AM, SRI LANKA",90730,SRI LANKA,S ASIA,1848,1240,74.0%,0.0%,7.339767766,80.9928239,success
"SHANDONG YUANCHENGHE GARMENTS CO.,LTD",FINISHED GOODS,APPAREL,NIKE,Collegiate,FAR EASTERN,HUANGCHENG SCIENCE AND TECHNOLOGY PARK,"NINGYANG COUNTY, TAIAN CITY",SHANDONG,"HUANGCHENG SCIENCE AND TECHNOLOGY PARK, NINGYANG COUNTY, TAIAN CITY, SHANDONG, China Mainland",271400,China Mainland,N ASIA,116,90,75.0%,0.0%,-33.049289,27.848546,success
SHANGGAO YISEN INDUSTRY CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,,POU CHEN,"YOUZIDONG,JINGJIANG TOWN, SHANGGAO COUNTY, YICHUN CITY,",YICHUN,JIANGXI,"YOUZIDONG,JINGJIANG TOWN, SHANGGAO COUNTY, YICHUN CITY, YICHUN, JIANGXI, China Mainland",336400,China Mainland,N ASIA,8165,6340,86.0%,0.0%,28.22766525,114.9154911,success
SHAO YANG COUNTY STEIIA FOOTWEAR LTD,FINISHED GOODS,FOOTWEAR,NIKE,,STELLA,"HONGSHI INDUSTRIAL ZONE, SHAOYANG COUNTY, SHAOYANG, HUNAN ",SHAOYANG,HUNAN,"HONGSHI INDUSTRIAL ZONE, SHAOYANG COUNTY, SHAOYANG, HUNAN , SHAOYANG, HUNAN, China Mainland",422100,China Mainland,N ASIA,1207,1147,97.0%,0.0%,26.877066,112.637242,doubt
SHAOYANG LIANTAI SQ HANSHOU UPPER FACILITY,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,STELLA,"HANSHOU INDUSTRIAL PARK, TAIZIMIAO TOWN, HANSHOU COUNTY",CHANDE CITY,HUNAN,"HANSHOU INDUSTRIAL PARK, TAIZIMIAO TOWN, HANSHOU COUNTY, CHANDE CITY, HUNAN, China Mainland",415907,China Mainland,N ASIA,985,845,99.0%,0.0%,27.294209,117.486604,doubt
SHAOYANG STELLA FOOTWEAR COMPANY LIMITED,FINISHED GOODS,FOOTWEAR,NIKE,,STELLA,JIXIAN ROAD,SHAOYANG CITY,HUNAN,"JIXIAN ROAD, SHAOYANG CITY, HUNAN, China Mainland",422000,China Mainland,N ASIA,5134,4271,84.0%,0.0%,32.077668,120.822591,doubt
"SHEN ZHOU (CAMBODIA) CO., LTD",FINISHED GOODS,APPAREL,NIKE,,NINGBO,"BUILDING K&L,SOUN OUK SAHAKOM VATTANAC SANGKAT ",PHNOM PENH,PHNOM PENH,"BUILDING K&L,SOUN OUK SAHAKOM VATTANAC SANGKAT , PHNOM PENH, PHNOM PENH, CAMBODIA",0,CAMBODIA,SE ASIA,2835,2602,92.0%,4.2%,11.551995,104.940867,success
"SHENZHEN PENGYIFA INDUSTRIAL CO, LTD",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"2ND FLOOR, BUILDING A, B5, 1ST INDUSTRIAL RD, BAHUADONG,",SHENZHEN GUANGMING DISTRICT,GUANGDONG,"2ND FLOOR, BUILDING A, B5, 1ST INDUSTRIAL RD, BAHUADONG,, SHENZHEN GUANGMING DISTRICT, GUANGDONG, China Mainland",518107,China Mainland,N ASIA,62,32,52.0%,0.0%,50.054422,-97.049309,doubt
SHINTA WOOSUNG,MATERIALS,MATERIALS,NIKE,,SHINTA WOOSUNG,"JL.RAYA KOPO MAJA KM.01, GABUS-KOPO",SERANG,BANTEN,"JL.RAYA KOPO MAJA KM.01, GABUS-KOPO, SERANG, BANTEN, INDONESIA",42178,INDONESIA,S ASIA,,,0.0%,0.0%,-7.00444,107.52722,success
SHIXING TIAN HE GARMENTS CO. LTD.,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"XING SHENG INDUSTRIAL PARK. JIANG KOU TOWN, SHI XING DISTRICT",SHAO GUANG,GUANGDONG,"XING SHENG INDUSTRIAL PARK. JIANG KOU TOWN, SHI XING DISTRICT, SHAO GUANG, GUANGDONG, China Mainland",,China Mainland,N ASIA,127,122,81.0%,0.0%,31.387008,120.891659,success
"SHOETOWN FOOTWEAR CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,,SHOETOWN,"BAPIAN VILLAGE, XUANZHEN ROAD, TAIHE TOWN, QINGXIN COUNTY",QINGYUAN CITY,GUANGDONG,"BAPIAN VILLAGE, XUANZHEN ROAD, TAIHE TOWN, QINGXIN COUNTY, QINGYUAN CITY, GUANGDONG, China Mainland",511800,China Mainland,N ASIA,12134,9955,87.0%,0.0%,22.69976,113.337952,doubt
SHOETOWN HUNAN,FINISHED GOODS,FOOTWEAR,NIKE,,SHOETOWN,QIYANG DEVELOPMENT ZONE,YONGZHOU CITY,HUNAN,"QIYANG DEVELOPMENT ZONE, YONGZHOU CITY, HUNAN, China Mainland",,China Mainland,N ASIA,3429,3127,84.0%,7.4%,-33.048377,27.853457,doubt
SHOETOWN JINTAN,FINISHED GOODS,FOOTWEAR,NIKE,,SHOETOWN,"DA WAN GANG VILLAGE, DA WAN GANG ADMINISTRATION ZONE",QINGYUAN CITY,GUANGDONG,"DA WAN GANG VILLAGE, DA WAN GANG ADMINISTRATION ZONE, QINGYUAN CITY, GUANGDONG, China Mainland",511515,China Mainland,N ASIA,1138,1048,87.0%,0.0%,30.375548,119.677525,success
"SISOPHON HONG SENG SPORTSWEAR CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,,HONG SENG, 7 MACKARA THREET, SEREY SOPHOAN,BANTEAY MEAN CHEY," 7 MACKARA THREET,  SEREY SOPHOAN, BANTEAY MEAN CHEY, CAMBODIA",1250,CAMBODIA,SE ASIA,1105,1089,76.0%,1.2%,11.538615,104.903238,doubt
SLANE HOSIERY MILLS - CENTENNIAL FACILITY,FINISHED GOODS,EQUIPMENT,NIKE,,SLANE,313 S.CENTENNIAL STREET,HIGH POINT,NORTH CAROLINA,"313 S.CENTENNIAL STREET, HIGH POINT, NORTH CAROLINA, United States of America",27260,United States of America,AMERICAS,493,168,54.0%,0.0%,35.978608,-80.003981,doubt
SLANE HOSIERY MILLS - FAIRFIELD FACILITY,FINISHED GOODS,EQUIPMENT,NIKE,,SLANE,550 WEST FAIRFIELD,HIGH POINT,NORTH CAROLINA,"550 WEST FAIRFIELD, HIGH POINT, NORTH CAROLINA, United States of America",27263,United States of America,AMERICAS,492,168,54.0%,0.0%,35.978608,-80.003981,doubt
"SNP CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,,SPORTS CITY,"NO 12 VSIP II ROAD NO7,","THU DAU MOT CITY, ",BÌNH DUONG,"NO 12 VSIP II ROAD NO7,, THU DAU MOT CITY, , BÌNH DUONG, Viet Nam",75000,Viet Nam,SE ASIA,492,419,90.0%,0.0%,10.977978,106.672806,doubt
SON KHA SCREEN PRINTING CO. LTD,FINISHED GOODS,APPAREL,NIKE,Collegiate,SOUTH ISLAND,"44/1D PHAM VAN CHIEU, P.14",HO CHI MINH CITY,,"44/1D PHAM VAN CHIEU, P.14, HO CHI MINH CITY, , Viet Nam",,Viet Nam,SE ASIA,134,94,60.0%,1.1%,10.75,106.66667,doubt
SONG HONG GARMENT FACTORY,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"HAI PHUONG INDUSTRIAL ZONE, HAI HAU DISTRICT",HAI HAU,NAM _NH,"HAI PHUONG INDUSTRIAL ZONE, HAI HAU DISTRICT, HAI HAU, NAM _NH, Viet Nam",,Viet Nam,SE ASIA,2000,1950,85.0%,0.0%,20.168707,106.29632,success
SONG HONG GARMENT JSC - FACTORY 15.16.17.18,FINISHED GOODS,APPAREL,NIKE,,SONG HONG,223 GARDEN ST.,HOBOKEN,NAM _NH,"223 GARDEN ST., HOBOKEN, NAM _NH, Viet Nam",7030,Viet Nam,SE ASIA,1997,1380,85.0%,0.0%,21.732568,105.396672,doubt
SONGSEN GARMENT SUZHOU LTD,FINISHED GOODS,APPAREL,NIKE,,TAI WAH,"168 LIU FENG ROAD, ",SUZHOU,,"168 LIU FENG ROAD, , SUZHOU, , China Mainland",215124,China Mainland,N ASIA,304,258,91.0%,0.0%,31.294473,120.554385,doubt
SORELLE VANIN,FINISHED GOODS,APPAREL,NIKE,,DIOR,"VIA DEL LAVORO, 39",VIGONOVO,VENEZIA,"VIA DEL LAVORO, 39, VIGONOVO, VENEZIA, ITALY",30030,ITALY,EMEA,26,22,22.0%,13.6%,45.394875,11.993901,doubt
SOUTH ISLAND GARMENT SDN. BHD.,FINISHED GOODS,APPAREL,NIKE,,SOUTH ISLAND,"2468, SOLOK PERUSAHAAN DUA, KAWASAN PERUSAHAAN PRAI",PRAI,,"2468, SOLOK PERUSAHAAN DUA, KAWASAN PERUSAHAAN PRAI, PRAI, , MALAYSIA",13600,MALAYSIA,S ASIA,711,159,63.0%,69.2%,2.521947,113.833569,doubt
"SOUTHERN APPAREL CONTRACTORS, S.A.",FINISHED GOODS,APPAREL,NIKE,,TEGRA,"ZIP CALPULES, AUTOPISTA AL AEROPUERTO",CARRETERA A SAN PEDRO SULA,CORTÉS,"ZIP CALPULES, AUTOPISTA AL AEROPUERTO, CARRETERA A SAN PEDRO SULA, CORTÉS, HONDURAS",21103,HONDURAS,AMERICAS,3886,2893,60.0%,0.0%,15.50417,-88.025,doubt
SPORTEK,FINISHED GOODS,FOOTWEAR,NIKE,,DIAMANT,MILOSA OBLICA,KOTOR VAROS,REPUBLIKA SRPSKA,"MILOSA OBLICA, KOTOR VAROS, REPUBLIKA SRPSKA, Bosnia and Herzegovina",78220,Bosnia and Herzegovina,EMEA,1887,1727,73.0%,0.3%,44.61831,17.37204,doubt
STANWELL-EXPAN CO. LTD,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,,STANWELL-EXPAN,"NO. 8, DINGHU 9TH ST., GUEISHAN",TAOYUAN,T'AI-WAN,"NO. 8, DINGHU 9TH ST., GUEISHAN, TAOYUAN, T'AI-WAN, Taiwan",333,Taiwan,N ASIA,627,477,38.0%,15.9%,24.982686,121.212607,doubt
STAPLES PROMOTIONAL PRODUCTS,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),1520 ALBANY PLACE SE,ORANGE CITY,IOWA,"1520 ALBANY PLACE SE, ORANGE CITY, IOWA, United States of America",51041,United States of America,AMERICAS,566,293,76.0%,0.0%,42.988,-96.057077,success
STAPLES PROMOTIONAL PRODUCTS,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),710 S HWY 143,MARCUS,IOWA,"710 S HWY 143, MARCUS, IOWA, United States of America",51035,United States of America,AMERICAS,68,65,87.0%,0.0%,42.809654,-95.79983,success
STERLING APPAREL MANUFACTURING L.L.C,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,"DULAILET ALHAMAIDEH , LEB & MLAIH",MADABA,MADABA,"DULAILET ALHAMAIDEH , LEB & MLAIH, MADABA, MADABA, JORDAN",11636,JORDAN,EMEA,386,292,97.0%,1.4%,31.71784749,35.80082379,success
STERLING APPAREL MANUFACTURING L.L.C. SAHAB,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,BUILDING D ALTAJAMOUAT INDUSTRIAL CITY,SAHAB,AMMAN,"BUILDING D ALTAJAMOUAT INDUSTRIAL CITY, SAHAB, AMMAN, JORDAN",11636,JORDAN,EMEA,1602,1313,80.0%,88.0%,10.596814,122.587507,success
STYLDEA SRL,FINISHED GOODS,FOOTWEAR,Converse,,STYLDEA,"VIA BUSTA ,  9\3     31030",ALTIVOLE,TREVISO,"VIA BUSTA ,  9\3     31030, ALTIVOLE, TREVISO, ITALY",31030,ITALY,EMEA,18,13,78.0%,0.0%,45.74574,11.991883,success
STYLE MANUFACTURERS,FINISHED GOODS,APPAREL,NIKE,,STYLE,BLVD. SAN JUAN BOSCO NO. 4273  COLONIA LOMAS DEL MIRADOR,LEON,GUANAJUATO,"BLVD. SAN JUAN BOSCO NO. 4273  COLONIA LOMAS DEL MIRADOR, LEON, GUANAJUATO, MEXICO",37358,MEXICO,AMERICAS,257,229,48.0%,0.0%,21.127738,-101.672015,doubt
STYLE TEXTILE IV,FINISHED GOODS,APPAREL,NIKE,,STYLE TEXTILE,"25 KM, MULTAN ROAD",LAHORE,PUNJAB,"25 KM, MULTAN ROAD, LAHORE, PUNJAB, Pakistan",54500,Pakistan,S ASIA,3375,2932,13.0%,0.0%,31.54972,74.34361,doubt
STYLE TEXTILE PVT LTD.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,,STYLE TEXTILE,"126/3, KOT LAKHPAT INDUSTRIAL ESTATE",LAHORE,PUNJAB,"126/3, KOT LAKHPAT INDUSTRIAL ESTATE, LAHORE, PUNJAB, Pakistan",54770,Pakistan,S ASIA,4392,2961,22.0%,0.0%,31.54972,74.34361,doubt
STYLE TEXTILE PVT. LTD. UNIT NO. 2,FINISHED GOODS,APPAREL,NIKE,,STYLE TEXTILE,"112/18, KOT LAKHPAT INDUSTRIAL ESTATE",LAHORE,PUNJAB,"112/18, KOT LAKHPAT INDUSTRIAL ESTATE, LAHORE, PUNJAB, Pakistan",54770,Pakistan,S ASIA,398,349,1.0%,0.0%,31.54972,74.34361,doubt
"STYLE TEXTILE(PVT.) LIMITED, (MANGA)",FINISHED GOODS,APPAREL,NIKE,,STYLE TEXTILE,"2.5 KM, OFF MANGA RAIWIND ROAD",KASUR/LAHORE,PUNJAB,"2.5 KM, OFF MANGA RAIWIND ROAD, KASUR/LAHORE, PUNJAB, Pakistan",55150,Pakistan,S ASIA,7093,5221,1.0%,0.0%,31.110484,72.384598,doubt
"SUMBER MASANDA JAYA, PT",FINISHED GOODS,FOOTWEAR,NIKE,,PRATAMA,JL. RAYA BANGSRI KM. 07,BREBES,JAWA TENGAH,"JL. RAYA BANGSRI KM. 07, BREBES, JAWA TENGAH, INDONESIA",52253,INDONESIA,S ASIA,1956,1650,90.0%,0.0%,-6.962977,108.904261,doubt
"SUNNY JET HOSIERY CO., LIMITED",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"NO. 9 LONGQUAN ROAD,GUANGLING INDUSTRY ZONE",YANGZHOU,JIANGSU,"NO. 9 LONGQUAN ROAD,GUANGLING INDUSTRY ZONE, YANGZHOU, JIANGSU, China Mainland",225003,China Mainland,N ASIA,256,185,79.0%,27.0%,31.821013,117.222968,doubt
SUSSEX IM,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),N65 W24770 MAIN STREET,SUSSEX,WISCONSIN,"N65 W24770 MAIN STREET, SUSSEX, WISCONSIN, United States of America",53089,United States of America,AMERICAS,315,315,28.0%,0.0%,43.136573,-88.239548,success
